"radius" "probability"
"1" 0 0.0319322717043908
"2" 0.005 0.077841657357834
"3" 0.01 0.103935903126114
"4" 0.015 0.114730785453136
"5" 0.02 0.114245487770075
"6" 0.025 0.106003216117611
"7" 0.03 0.0930299946676408
"8" 0.035 0.077855870201566
"9" 0.04 0.0625145373837137
"10" 0.045 0.04854283020384
"11" 0.05 0.0369815784950199
"12" 0.055 0.0283149289943993
"13" 0.06 0.0223256741183902
"14" 0.065 0.0181864175855542
"15" 0.07 0.0146348393897803
"16" 0.075 0.0113252810302112
"17" 0.08 0.00856167252676578
"18" 0.085 0.00657083052310706
"19" 0.09 0.0051765532296158
"20" 0.095 0.00406904883206559
"21" 0.1 0.00313860274202425
"22" 0.105 0.00238706182619143
"23" 0.11 0.00181033085840705
"24" 0.115 0.00139010176877903
"25" 0.12 0.00107546527523908
"26" 0.125 0.000814950005853765
"27" 0.13 0.000608582726807142
"28" 0.135 0.000459307718345013
"29" 0.14 0.00036158438036846
"30" 0.145 0.000282677669780984
"31" 0.15 0.000220419525674311
"32" 0.155 0.00016862695953226
"33" 0.16 0.000118306533513109
"34" 0.165 8.42867135820772e-05
"35" 0.17 6.83340678866444e-05
"36" 0.175 5.32111738968465e-05
"37" 0.18 3.90786287169999e-05
"38" 0.185 3.21194208632876e-05
"39" 0.19 2.67929502367924e-05
"40" 0.195 2.11452854016643e-05
"41" 0.2 1.51764263579034e-05
"42" 0.205 1.11079663818870e-05
"43" 0.21 9.10050257793149e-06
"44" 0.215 6.98597403776505e-06
"45" 0.22 4.76438076138766e-06
"46" 0.225 4.87144549759862e-06
"47" 0.23 2.48925511690479e-06
"48" 0.235 2.54278748501027e-06
"49" 0.24 2.59631985311575e-06
"50" 0.245 0
"51" 0.25 0
